"","Dose","mu","ci_low","ci_up","pi_low","pi_up"
"48",15.719906354515,99.9904545118174,90.5336831411253,110.300742220674,73.1893397773118,136.214324216204
"49",16.0543511705686,99.9887037844398,90.5324563046677,110.299308057174,73.5622607482904,136.42358727916
"50",16.3887959866221,99.9866783353032,90.5310509501961,110.297649457572,73.3729406605885,137.058305274577
"51",16.7232408026756,99.9843420282569,90.5294532419508,110.295736988019,73.2550495676523,136.006642988965
"52",17.0576856187291,99.9816548556575,90.5276261088025,110.293526357884,73.4393545645072,136.516732654394
"53",17.3921304347826,99.9785726152507,90.5253927744048,110.289464955812,73.2348287589684,135.410674551827
"54",17.7265752508361,99.9750465677612,90.5231144680646,110.286652351387,73.3372176145043,135.472714081539
"55",18.0610200668896,99.9710230745735,90.5203759204324,110.283436332206,73.2630474768817,136.164736678989
"56",18.3954648829431,99.9664432149062,90.5172758108638,110.280898670531,73.4423896402946,135.919140535871
"57",18.7299096989967,99.9612423819148,90.5137743380809,110.275594364329,73.5110110460255,135.738137711939
"58",19.0643545150502,99.9553498571889,90.5040993384734,110.270837333777,73.472006693178,136.250291469484
"59",19.3987993311037,99.9486883631556,90.4988170401184,110.26451163048,73.0117955191807,136.766111943158
"60",19.7332441471572,99.9411735929538,90.4932935003224,110.25198932098,73.437748428332,135.464365941337
"61",20.0676889632107,99.932713717406,90.4863779659154,110.246061501991,73.0851795792038,136.440435378513
"62",20.4021337792642,99.923208868789,90.4786514884151,110.235320871125,73.0517476742234,136.161504818572
"63",20.7365785953177,99.9125506011952,90.4702121258529,110.225265823806,73.3349730366725,136.894861131519
"64",21.0710234113712,99.9006213273751,90.4603281377492,110.213502568867,73.3446735063083,137.303506529444
"65",21.4054682274247,99.8872937320748,90.4470090955531,110.197125757311,73.3912561159512,135.515454254498
"66",21.7399130434783,99.8724301620164,90.4325620237216,110.176834674093,73.053561804429,136.66252507368
"67",22.0743578595318,99.8558819928282,90.4210720972146,110.159250427638,72.8890827447416,135.537715047779
"68",22.4088026755853,99.8374889734124,90.4024271359292,110.131667104761,72.9674078109082,135.9389456595
"69",22.7432474916388,99.8170785484396,90.3848148404203,110.112692278265,72.8513618193176,136.761308225536
"70",23.0776923076923,99.7944651598937,90.3666709484237,110.081105049143,73.0311848621957,135.648853108562
"71",23.4121371237458,99.7694495288494,90.3460042335578,110.051819129691,72.8817664203604,135.762424712123
"72",23.7465819397993,99.7418179189569,90.3180877267912,110.012402215181,72.9308837259693,135.696206684349
"73",24.0810267558528,99.7113413834374,90.2869616320261,109.98395584032,73.3057512651749,135.995452506455
"74",24.4154715719064,99.6777749977539,90.2660887485206,109.945399086272,73.0925185063549,135.735081108324
"75",24.7499163879599,99.6408570805284,90.2172474448765,109.911992135341,73.2623661766734,135.96335209808
"76",25.0843612040134,99.6003084057211,90.1851001476445,109.869200002431,73.2288371892365,135.785524264142
"77",25.4188060200669,99.5558314095797,90.1327080462973,109.822051572718,72.6806502024934,136.000148196724
"78",25.7532508361204,99.5071093964021,90.080561854717,109.772861561835,72.6159518619645,135.992076183124
"79",26.0876956521739,99.4538057477482,90.0233056231501,109.719699839332,73.0804200657965,135.881545018441
"80",26.4221404682274,99.3955631403681,89.9732911301989,109.656880952533,72.5567262339276,135.476986670819
"81",26.7565852842809,99.3320027788098,89.8935823324458,109.570881055269,72.8308461271535,134.684152912964
"82",27.0910301003344,99.2627236494071,89.8036097399402,109.490768871274,72.8544590739314,135.525292026673
"83",27.425474916388,99.1873018031455,89.728137128513,109.395381690548,72.5773879871412,134.200420315622
"84",27.7599197324415,99.1052896757459,89.6468906504814,109.305017588665,72.3558904272117,135.198606429814
"85",28.094364548495,99.0162154542014,89.5545958151433,109.199265538292,72.6372539993653,135.224027809458
"86",28.4288093645485,98.9195824999377,89.4301875903898,109.095221502948,72.4081941334529,134.528641158933
"87",28.763254180602,98.8148688397428,89.3117273008069,108.98367161488,72.3664605501731,135.011989542532
"88",29.0976989966555,98.7015267366193,89.1844276959321,108.855878026715,72.2885713424337,134.389360481151
"89",29.432143812709,98.5789823537405,89.0467546023456,108.71851798368,72.1054927513103,134.084706985468
"90",29.7665886287625,98.446635525727,88.8939093160333,108.585642979971,71.9438765712955,134.393583963203
"91",30.1010334448161,98.3038596524953,88.7184288740839,108.413611085684,72.1218876884577,133.452549377362
"92",30.4354782608696,98.1500017319322,88.5557158419167,108.264696889043,71.8621623313481,133.765504280715
"93",30.7699230769231,97.9843825486188,88.3350496306585,108.088973096615,71.6548015377269,133.213994702395
"94",31.1043678929766,97.8062970367138,88.1361746424159,107.901986651613,71.8520523176694,133.443598855909
"95",31.4388127090301,97.6150148359057,87.9194967869539,107.70803265328,71.3808639998605,132.421911150915
"96",31.7732575250836,97.4097810600063,87.6913522873593,107.478461643408,71.1922209979127,132.212889123746
